id,genre,director
301,Western,Howard Hawks
11697,Western,John Ford
10775,"Drama, Action, Thriller, Crime, Mystery","Alan Mak Siu-Fai, Andrew Lau Wai-Keung"
3870,"Drama, History",Bernardo Bertolucci
80,"Drama, Romance",Richard Linklater
29458,"Drama, History",Marco Tullio Giordana
937746,"Adventure, Drama",Matteo Garrone
785084,Drama,Darren Aronofsky
31011,"Science Fiction, Drama, Romance",Jaco Van Dormael
1018,"Thriller, Drama, Mystery",David Lynch
762,"Adventure, Comedy, Fantasy","Terry Gilliam, Terry Jones"
531,"Animation, Comedy, Family",Nick Park
579245,"Comedy, Drama","Olivier Nakache, Éric Toledano"
562,"Action, Thriller",John McTiernan
502,"Thriller, Drama, War",Sidney Lumet
674,"Adventure, Fantasy",Mike Newell
335578,"War, Drama, History",Martin Zandvliet
22683,Drama,Thomas Carter
11621,"Family, Comedy, Animation, Adventure",Hayao Miyazaki
10193,"Animation, Family, Comedy",Lee Unkrich
2118,"Crime, Mystery, Thriller, Drama",Curtis Hanson
901563,Drama,Lukas Dhont
393559,"Animation, Comedy, Drama, Family",Claude Barras
1394,"Drama, Romance",Andrei Tarkovsky
84892,Drama,Stephen Chbosky
5915,"Adventure, Drama",Sean Penn
632322,"Romance, Drama",Marc Meyers
508943,"Animation, Comedy, Fantasy, Adventure, Family",Enrico Casarosa
49797,"Thriller, Horror",Kim Jee-woon
593,"Drama, Science Fiction, Mystery",Andrei Tarkovsky
367412,"Drama, Music",Damien Chazelle
24428,"Science Fiction, Action, Adventure",Joss Whedon
136,"Drama, Horror",Tod Browning
12496,"Drama, Romance",Yoji Yamada
5000,"Drama, War",René Clément
22843,"Animation, Science Fiction, Action, Drama","Hideaki Anno, Kazuya Tsurumaki, Masayuki"
16761,"Animation, Comedy, Family","Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste"
946,"Drama, Romance",Max Ophüls
359156,"Crime, Drama",Claudio Caligari
149870,"Drama, Animation, Romance, War, History",Hayao Miyazaki
2721,"Thriller, Crime, Drama",Costa-Gavras
1366,Drama,John G. Avildsen
887,"Drama, Romance",William Wyler
348892,"Comedy, Drama, Action",Kabir Khan
29845,"Drama, Romance",John Cassavetes
13042,"Animation, Family, Comedy",Doug Sweetland
11049,"Animation, Science Fiction, Music, Adventure","Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi, Leiji Matsumoto"
277216,"Drama, Music, History",F. Gary Gray
